,Date,Station,Air Temperature(Celcius),Relative Humidity,WindSpeed  (knots),Max Wind Speed,MAX,MIN,Precipitation
0,2016-12-31,948700,19,56.8,7.9,11.1,   72.0*,  61.9*, 0.00I
1,2017-01-02,948700,15,50.7,9.2,13.0,   72.0*,58.3, 0.02G
2,2017-01-03,948700,16,53.6,8.1,15.0,   68.4*,  54.3*, 0.00G
3,2017-01-04,948700,24,61.6,7.7,14.0,   87.3*,54, 0.00I
4,2017-01-05,948700,24,62.3,7.0,13.0,   85.5*,  65.7*, 0.00I
5,2017-01-06,948700,26,60.8,6.9,12.0,   92.1*,65.5, 0.00I
6,2017-01-07,948700,32,54.1,12.8,19.0,   98.1*,64.8, 0.00I
7,2017-01-08,948700,20,57.7,9.9,18.1,   76.1*,  64.2*, 0.00I
8,2017-01-09,948700,19,56.3,5.8,8.9,   73.6*,  60.6*, 0.00I
9,2017-01-10,948700,20,57.0,8.7,13.0,   77.2*,59.4, 0.00I
10,2017-01-11,948700,18,53.3,7.9,14.0,   72.0*,  56.7*, 0.00I
11,2017-01-12,948700,22,56.3,8.0,13.0,   79.2*,56.1, 0.08G
12,2017-01-13,948700,19,54.1,11.2,18.1,   81.0*,  60.8*, 0.31G
13,2017-01-14,948700,17,50.4,11.9,16.9,   71.1*,60.3, 0.00G
14,2017-01-15,948700,16,50.8,5.8,12.0,   68.7*,  51.6*, 0.00I
15,2017-01-16,948700,24,55.4,5.9,9.9,   85.5*,51.3, 0.00I
16,2017-01-17,948700,24,53.4,9.9,15.9,   95.0*,  62.8*, 0.00I
17,2017-01-18,948700,16,46.7,10.0,16.9,   68.0*,  50.4*, 0.00I
18,2017-01-19,948700,19,57.2,8.9,15.0,   72.7*,48.4, 0.98G
19,2017-01-20,948700,16,50.9,12.9,21.0,   66.2*,  58.8*, 0.03G
20,2017-01-21,948700,17,52.5,6.7,12.0,   69.6*,  52.7*, 0.00G
21,2017-01-22,948700,23,59.0,6.0,12.0,   85.8*,52.5, 0.00I
22,2017-01-23,948700,25,58.3,12.2,22.0,   96.3*,64.6, 0.04G
23,2017-01-24,948700,16,48.2,9.9,18.1,   69.1*,  51.8*, 0.01G
24,2017-01-25,948700,17,50.8,9.0,15.9,   70.2*,50.4, 0.00G
25,2017-01-26,948700,18,53.5,8.8,13.0,   69.1*,57, 0.00I
26,2017-01-27,948700,19,56.1,6.9,12.0,   76.8*,  57.6*, 0.00A
27,2017-01-28,948700,18,57.0,7.4,15.0,   75.2*,  56.1*, 0.00I
28,2017-01-29,948700,22,58.0,6.9,12.0,   80.4*,55.8, 0.00I
29,2017-01-30,948700,20,55.8,10.5,15.9,   83.7*,59.7, 0.01G
30,2017-01-31,948700,16,48.4,8.1,15.9,   70.2*,  53.6*, 0.00G
31,2017-02-01,948700,16,48.9,5.4,8.9,   67.5*,53.1, 0.00I
32,2017-02-02,948700,18,53.0,6.6,14.0,   73.4*,  58.5*, 0.00I
33,2017-02-03,948700,18,54.4,5.7,9.9,   77.4*,56.1, 0.00I
34,2017-02-04,948700,26,53.7,8.7,15.0,   97.0*,54.7, 0.00I
35,2017-02-05,948700,21,64.5,10.6,15.9,   86.4*,  59.4*, 1.26G
36,2017-02-06,948700,16,48.1,9.3,12.0,   68.2*,  57.9*, 0.00G
37,2017-02-07,948700,20,57.4,10.9,22.0,   78.8*,57.6, 0.00I
38,2017-02-08,948700,31,61.9,14.1,23.9,   96.3*,60.3, 0.00I
39,2017-02-09,948700,22,62.7,7.6,18.1,   92.7*,  64.8*, 0.00I
40,2017-02-10,948700,21,60.4,6.8,12.0,   78.8*,64.4, 0.00I
41,2017-02-11,948700,19,53.8,9.2,15.0,   73.4*,  60.3*, 0.02G
42,2017-02-12,948700,16,48.3,14.4,19.0,   65.7*,  57.9*, 0.00G
43,2017-02-13,948700,16,53.6,12.1,16.9,   68.4*,57.6, 0.16G
44,2017-02-14,948700,14,48.5,7.3,14.0,   66.0*,  49.5*, 0.00G
45,2017-02-15,948700,22,53.4,10.9,19.0,   88.2*,47.7, 0.00I
46,2017-02-16,948700,18,53.6,7.2,15.0,   72.5*,  58.8*, 0.00I
47,2017-02-17,948700,18,49.4,9.3,13.0,   73.4*,57.2, 0.00I
48,2017-02-18,948700,15,44.6,9.7,12.0,   64.8*,  54.0*, 0.02G
49,2017-02-19,948700,13,48.5,10.7,14.0,   61.0*,53.6, 0.71G
50,2017-02-20,948701,15,49.1,9.6,16.9,   66.0*,  49.5*, 0.01G
51,2017-02-21,948701,16,51.0,6.0,13.0,   74.3*,49.3, 0.00G
52,2017-02-22,948701,23,49.6,10.0,19.0,   90.7*,50.7, 0.00I
53,2017-02-23,948701,18,55.5,8.9,15.0,   73.6*,57.6, 0.01G
54,2017-02-24,948701,16,48.3,9.4,14.0,   67.5*,  52.7*, 0.01G
55,2017-02-25,948701,17,52.6,10.3,15.9,   66.6*,52, 0.00G
56,2017-02-26,948701,21,54.9,7.4,16.9,   83.5*,54.7, 0.00I
57,2017-02-27,948701,24,55.6,5.9,13.0,   89.6*,56.3, 0.00I
58,2017-02-28,948701,23,54.1,5.7,14.0,   90.3*,59.2, 0.00I
59,2017-03-01,948701,21,57.3,5.4,9.9,   86.2*,58.1, 0.00I
60,2017-03-02,948701,20,62.6,10.1,15.0,   75.0*,58.1, 0.00I
61,2017-03-03,948701,21,59.5,12.4,21.0,   84.2*,  60.3*, 0.00I
62,2017-03-04,948701,22,62.0,7.9,11.1,   80.8*,59.4, 0.00I
63,2017-03-05,948701,20,58.8,11.5,15.9,   78.1*,  61.7*, 0.00I
64,2017-03-06,948701,20,52.9,17.0,21.0,   80.6*,  59.2*, 0.00I
65,2017-03-07,948701,19,51.5,10.2,20.0,   80.4*,  52.9*, 0.00I
66,2017-03-08,948701,21,51.7,7.2,13.0,   84.4*,52.7, 0.00I
67,2017-03-09,948701,23,53.4,6.1,11.1,   87.3*,53.1, 0.00I
68,2017-03-10,948701,19,60.2,6.4,12.0,   73.4*,59.4, 0.00I
69,2017-03-11,948701,20,59.7,8.6,15.9,   78.6*,61.9, 0.01G
70,2017-03-12,948701,21,58.1,5.3,11.1,   78.6*,  60.3*, 0.00G
71,2017-03-13,948701,20,62.2,7.1,15.0,   75.9*,59.2, 0.00I
72,2017-03-14,948701,25,58.3,7.1,13.0,   88.7*,59.9, 0.00I
73,2017-03-15,948701,28,58.4,11.9,18.1,   91.6*,67.8, 0.04G
74,2017-03-16,948701,18,53.3,10.8,15.0,   70.2*,  59.2*, 0.00G
75,2017-03-17,948701,18,51.1,8.1,15.0,   72.7*,  52.5*, 0.00I
76,2017-03-18,948701,21,52.8,4.1,11.1,   84.9*,51.6, 0.00I
77,2017-03-19,948701,24,55.2,5.8,11.1,   90.0*,54.9, 0.00I
78,2017-03-20,948701,23,63.8,7.1,15.9,   81.7*,64.2, 0.08G
79,2017-03-21,948701,20,67.4,8.5,14.0,   76.1*,  64.4*, 0.63G
80,2017-03-22,948701,18,57.5,16.1,21.0,   69.6*,  60.8*, 0.00G
81,2017-03-23,948701,18,55.6,12.8,19.0,   75.9*,  55.6*, 0.00I
82,2017-03-24,948701,20,58.4,6.1,11.1,   76.5*,54.7, 0.00I
83,2017-03-25,948701,23,61.9,8.0,15.9,   85.5*,61.7, 0.00I
84,2017-03-26,948701,23,60.6,10.1,26.0,   84.4*,  64.2*, 0.00I
