,Date,Datetime,Surface Temperature (kelvin),Surface Temperature (Celcius),Power,Confidence,Latitude,Longitude
0,2017-12-27,2017-12-27T04:16:51,341.8,68,26.7,78,-37.966,145.05100000000002
1,2017-12-27,2017-12-27T00:02:15,336.3,63,62.0,82,-35.541,143.311
2,2017-12-27,2017-12-27T00:02:15,326.8,53,23.8,67,-35.554,143.30700000000002
3,2017-12-27,2017-12-27T00:02:14,340.4,67,84.2,86,-35.543,143.316
4,2017-12-25,2017-12-25T04:29:08,327.8,54,16.2,80,-37.708,145.1
5,2017-12-24,2017-12-24T13:12:01,305.6,32,11.8,65,-35.646,142.282
6,2017-12-21,2017-12-21T04:53:29,320.1,46,17.6,72,-38.075,143.76
7,2017-12-16,2017-12-16T15:38:39,316.7,43,37.1,94,-37.635999999999996,149.33
8,2017-12-16,2017-12-16T15:38:39,306.8,33,20.8,69,-37.624,149.332
9,2017-12-16,2017-12-16T04:35:15,327.6,54,18.9,62,-37.82,142.32299999999998
10,2017-12-16,2017-12-16T04:35:13,346.2,73,46.0,93,-37.875,142.51
11,2017-12-16,2017-12-16T04:34:58,328.3,55,69.3,84,-37.608000000000004,149.328
12,2017-12-16,2017-12-16T04:34:58,348.2,75,160.9,95,-37.613,149.305
13,2017-12-16,2017-12-16T04:34:57,328.9,55,63.5,59,-37.644,149.346
14,2017-12-16,2017-12-16T04:34:57,340.1,66,113.1,90,-37.624,149.314
15,2017-12-16,2017-12-16T04:34:57,329.7,56,64.4,75,-37.661,149.327
16,2017-12-16,2017-12-16T04:34:57,333.8,60,78.9,79,-37.649,149.322
17,2017-12-16,2017-12-16T00:21:12,346.3,73,48.8,93,-38.056999999999995,144.211
18,2017-12-16,2017-12-16T00:21:11,322.0,48,11.8,60,-38.046,144.201
19,2017-12-16,2017-12-16T00:21:11,329.0,55,20.0,82,-38.048,144.213
20,2017-12-16,2017-12-16T00:20:53,337.8,64,42.2,82,-37.650999999999996,149.345
21,2017-12-16,2017-12-16T00:20:53,330.7,57,27.8,53,-37.63,149.335
22,2017-12-15,2017-12-15T13:17:17,315.9,42,23.1,92,-37.626999999999995,149.33
23,2017-12-15,2017-12-15T13:17:17,309.8,36,17.3,78,-37.658,149.339
24,2017-12-15,2017-12-15T13:17:17,311.9,38,17.8,51,-37.623000000000005,149.32299999999998
25,2017-12-15,2017-12-15T01:16:23,313.4,40,32.8,65,-38.038000000000004,142.986
26,2017-12-14,2017-12-14T04:47:25,343.2,70,58.7,92,-37.95,142.366
27,2017-12-13,2017-12-13T04:04:19,333.3,60,17.9,83,-38.231,147.172
28,2017-12-12,2017-12-12T00:45:38,317.7,44,10.4,53,-37.903,145.25
29,2017-12-10,2017-12-10T00:57:59,311.2,38,10.4,50,-37.986999999999995,144.005
30,2017-12-10,2017-12-10T00:56:57,327.7,54,12.3,67,-34.289,141.71200000000002
31,2017-12-09,2017-12-09T00:14:34,335.1,61,28.7,87,-36.294000000000004,146.149
32,2017-12-09,2017-12-09T00:14:34,327.8,54,18.2,81,-36.285,146.151
33,2017-12-09,2017-12-09T00:14:33,331.8,58,24.5,84,-36.277,146.165
34,2017-12-09,2017-12-09T00:14:33,333.6,60,26.7,86,-36.275,146.154
35,2017-12-08,2017-12-08T13:11:44,309.3,36,11.5,77,-36.273,146.155
36,2017-12-08,2017-12-08T13:11:44,327.7,54,27.6,100,-36.284,146.145
37,2017-12-08,2017-12-08T13:11:44,344.7,71,53.4,100,-36.282,146.157
38,2017-12-08,2017-12-08T13:11:43,325.8,52,25.5,100,-36.293,146.148
39,2017-12-08,2017-12-08T13:11:43,313.2,40,13.1,56,-36.291,146.159
40,2017-11-30,2017-11-30T23:25:57,320.5,47,71.8,52,-37.635,149.303
41,2017-11-30,2017-11-30T15:38:36,327.0,53,54.7,100,-37.591,149.33
42,2017-11-30,2017-11-30T15:38:36,315.5,42,27.7,51,-37.59,149.31
43,2017-11-30,2017-11-30T15:38:36,316.1,42,29.5,64,-37.633,149.264
44,2017-11-30,2017-11-30T15:38:35,327.4,54,57.0,100,-37.585,149.336
45,2017-11-30,2017-11-30T15:38:35,309.0,35,18.4,69,-37.58,149.33100000000002
46,2017-11-30,2017-11-30T15:38:35,322.6,49,44.6,100,-37.583,149.316
47,2017-11-30,2017-11-30T15:38:32,304.5,31,14.1,61,-37.38,149.334
48,2017-11-30,2017-11-30T12:22:15,307.1,33,24.8,62,-37.602,149.295
49,2017-11-30,2017-11-30T12:22:15,305.4,32,21.4,64,-37.598,149.29
50,2017-11-30,2017-11-30T12:22:15,312.1,38,40.0,84,-37.596,149.319
51,2017-11-30,2017-11-30T12:22:15,316.0,42,49.7,81,-37.63,149.232
52,2017-11-30,2017-11-30T12:22:15,328.7,55,103.4,100,-37.644,149.233
53,2017-11-30,2017-11-30T12:22:15,338.6,65,158.5,100,-37.641999999999996,149.263
54,2017-11-30,2017-11-30T12:22:14,344.4,71,197.8,100,-37.634,149.237
55,2017-11-30,2017-11-30T04:35:00,333.0,59,82.4,84,-37.384,149.336
56,2017-11-30,2017-11-30T04:35:00,323.3,50,47.2,73,-37.389,149.311
57,2017-11-30,2017-11-30T04:34:57,356.9,83,209.7,98,-37.605,149.30200000000002
58,2017-11-30,2017-11-30T04:34:57,330.8,57,64.9,81,-37.626999999999995,149.261
59,2017-11-30,2017-11-30T04:34:57,334.3,61,79.6,84,-37.623000000000005,149.284
60,2017-11-30,2017-11-30T04:34:57,359.8,86,232.1,99,-37.6,149.325
61,2017-11-30,2017-11-30T04:34:57,321.7,48,35.3,69,-37.61,149.279
62,2017-11-30,2017-11-30T00:21:00,315.5,42,10.4,60,-37.637,146.28799999999998
63,2017-11-30,2017-11-30T00:20:53,331.6,58,29.7,83,-37.608000000000004,149.282
64,2017-11-30,2017-11-30T00:20:53,336.6,63,38.2,87,-37.62,149.29399999999998
65,2017-11-30,2017-11-30T00:20:53,349.6,76,69.6,95,-37.618,149.281
66,2017-11-30,2017-11-30T00:20:53,330.1,56,26.4,81,-37.61,149.296
67,2017-11-30,2017-11-30T00:20:53,324.3,51,18.6,73,-37.603,149.32399999999998
68,2017-11-30,2017-11-30T00:20:53,328.9,55,26.4,81,-37.602,149.311
69,2017-11-30,2017-11-30T00:20:53,323.9,50,17.6,69,-37.6,149.297
70,2017-11-30,2017-11-30T00:20:49,314.9,41,10.8,64,-37.382,149.341
71,2017-11-29,2017-11-29T13:17:24,311.7,38,16.1,53,-37.611,149.27700000000002
72,2017-11-29,2017-11-29T13:17:24,328.7,55,42.3,100,-37.608000000000004,149.292
73,2017-11-29,2017-11-29T13:17:24,316.9,43,22.7,68,-37.605,149.308
74,2017-11-29,2017-11-29T03:53:16,327.8,54,39.3,52,-34.282,142.121
75,2017-11-29,2017-11-29T03:52:10,360.7,87,100.7,100,-37.606,149.312
76,2017-11-29,2017-11-29T03:52:10,317.5,44,12.0,64,-37.605,149.326
77,2017-11-29,2017-11-29T03:52:10,353.9,80,77.7,97,-37.61,149.30700000000002
78,2017-11-29,2017-11-29T03:52:10,357.9,84,89.7,99,-37.609,149.32
79,2017-11-28,2017-11-28T00:33:14,315.5,42,17.4,50,-37.749,148.297
80,2017-11-23,2017-11-23T04:28:59,333.2,60,16.8,84,-37.946,144.342
81,2017-11-23,2017-11-23T04:28:59,346.5,73,40.1,93,-37.945,144.35399999999998
82,2017-11-23,2017-11-23T00:15:12,319.5,46,12.9,68,-38.141,143.183
