Order,Family,Species,Mass(g),BMR(W),Speciesavg.mass(g),Speciesavg.BMR(W),References
Artiodactyla,Antilocapridae,Antilocapraamericana,32000.00,49.984,34779.3,50.973,Lovegrove(2000)
Artiodactyla,Antilocapridae,Antilocapraamericana,37800,51.981,,,White&Seymour(2003)
Artiodactyla,Bovidae,Bostaurus,347000,306.77,347000,306.77,Heusner(1991)
Artiodactyla,Bovidae,Cephalophusmonticola,4200,10.075,4200,10.075,Lovegrove(2000)
Artiodactyla,Bovidae,Connochaetestaurinus,196500,230.073,196500,230.073,"White&Seymour(2003),Rogerson(1968)"
Artiodactyla,Bovidae,Kobusellipsiprymnus,100000,148.949,100000,148.949,Lovegrove(2000)
Artiodactyla,Bovidae,Madoquakirkii,4290,11.966,4290,11.966,Lovegrove(2000)
Artiodactyla,Bovidae,Oreamnosamericanus,32000,46.414,32000,46.414,Lovegrove(2000)
Artiodactyla,Bovidae,Oviscanadensis,65000,123.287,67030.8,114.674,Lovegrove(2000)
Artiodactyla,Bovidae,Oviscanadensis,69125,106.663,,,White&Seymour(2003)
Artiodactyla,Bovidae,Raphiceruscampestris,9600,20.619,9600,20.619,Lovegrove(2000)
Artiodactyla,Bovidae,Taurotragusoryx,133300,180.15,141403.7,190.209,Heusner(1991)
Artiodactyla,Bovidae,Taurotragusoryx,150000,200.83,,,Lovegrove(2000)
Artiodactyla,Camelidae,Camelusdromedarius,407000,224.779,407000,224.779,Lovegrove(2000)
Artiodactyla,Camelidae,Lamaglama,115000,148.94,115000,148.94,Heusner(1991)
Artiodactyla,Canidae,Cervuselaphus,67000,112.43,67000,112.43,Heusner(1991)
Artiodactyla,Cervidae,Alcesalces,325000,286.847,325000,286.847,White&Seymour(2003)
Artiodactyla,Cervidae,Capreoluscapreolus,21500,46.347,21500,46.347,Weiner(1977)
Artiodactyla,Cervidae,Odocoileusvirginianus,58588,142.863,61862.5,123.447,White&Seymour(2003)
