"","mpg","cylinders","displacement","horsepower","weight","acceleration","model.year","origin","car.name"
"1",18,8,307,"130.0",3504,12,70,1,"chevrolet chevelle malibu"
"2",15,8,350,"165.0",3693,11.5,70,1,"buick skylark 320"
"3",18,8,318,"150.0",3436,11,70,1,"plymouth satellite"
"4",16,8,304,"150.0",3433,12,70,1,"amc rebel sst"
"5",17,8,302,"140.0",3449,10.5,70,1,"ford torino"
"6",15,8,429,"198.0",4341,10,70,1,"ford galaxie 500"
"7",14,8,454,"220.0",4354,9,70,1,"chevrolet impala"
"8",14,8,440,"215.0",4312,8.5,70,1,"plymouth fury iii"
"9",14,8,455,"225.0",4425,10,70,1,"pontiac catalina"
"10",15,8,390,"190.0",3850,8.5,70,1,"amc ambassador dpl"
"11",15,8,383,"170.0",3563,10,70,1,"dodge challenger se"
"12",14,8,340,"160.0",3609,8,70,1,"plymouth 'cuda 340"
"13",15,8,400,"150.0",3761,9.5,70,1,"chevrolet monte carlo"
"14",14,8,455,"225.0",3086,10,70,1,"buick estate wagon (sw)"
"15",24,4,113,"95.00",2372,15,70,3,"toyota corona mark ii"
"16",22,6,198,"95.00",2833,15.5,70,1,"plymouth duster"
"17",18,6,199,"97.00",2774,15.5,70,1,"amc hornet"
"18",21,6,200,"85.00",2587,16,70,1,"ford maverick"
"19",27,4,97,"88.00",2130,14.5,70,3,"datsun pl510"
"20",26,4,97,"46.00",1835,20.5,70,2,"volkswagen 1131 deluxe sedan"
"21",25,4,110,"87.00",2672,17.5,70,2,"peugeot 504"
"22",24,4,107,"90.00",2430,14.5,70,2,"audi 100 ls"
"23",25,4,104,"95.00",2375,17.5,70,2,"saab 99e"
"24",26,4,121,"113.0",2234,12.5,70,2,"bmw 2002"
"25",21,6,199,"90.00",2648,15,70,1,"amc gremlin"
"26",10,8,360,"215.0",4615,14,70,1,"ford f250"
"27",10,8,307,"200.0",4376,15,70,1,"chevy c20"
"28",11,8,318,"210.0",4382,13.5,70,1,"dodge d200"
"29",9,8,304,"193.0",4732,18.5,70,1,"hi 1200d"
"30",27,4,97,"88.00",2130,14.5,71,3,"datsun pl510"
"31",28,4,140,"90.00",2264,15.5,71,1,"chevrolet vega 2300"
"32",25,4,113,"95.00",2228,14,71,3,"toyota corona"
